community	mainIncomeCommunity	populationSize	locality	sessionID	female	socialFirst	sequencePosition	asocialYes	socialYes	yes	propYes	lagOnePropYes	socialTmt	agricultureComm	eastGezira	numInSession	numFemalesInSession	propFemalesInSession	uniqueSubjectID
91	labour	4887	EastGezira	24	1	0	4	1	0	1	0.5	0.333333333333333	0	0	1	10	10	1	175
91	labour	4887	EastGezira	24	1	0	5	0	0	0	0.4	0.5	0	0	1	10	10	1	176
91	labour	4887	EastGezira	24	1	0	6	0	0	0	0.333333333333333	0.4	0	0	1	10	10	1	177
91	labour	4887	EastGezira	24	1	0	7	1	0	1	0.428571428571429	0.333333333333333	0	0	1	10	10	1	178
91	labour	4887	EastGezira	24	1	0	8	0	0	0	0.375	0.428571428571429	0	0	1	10	10	1	179
91	labour	4887	EastGezira	24	1	0	9	0	0	0	0.333333333333333	0.375	0	0	1	10	10	1	180
91	labour	4887	EastGezira	24	1	0	10	0	0	0	0.3	0.333333333333333	0	0	1	10	10	1	181
91	labour	4887	EastGezira	25	1	1	1	0	1	0	0	NA	0	0	1	10	10	1	182
91	labour	4887	EastGezira	25	1	1	2	0	0	0	0	0	0	0	1	10	10	1	183
91	labour	4887	EastGezira	25	1	1	3	0	0	0	0	0	0	0	1	10	10	1	184
91	labour	4887	EastGezira	25	1	1	4	1	1	1	0.25	0	0	0	1	10	10	1	185
91	labour	4887	EastGezira	25	1	1	5	1	1	1	0.4	0.25	0	0	1	10	10	1	186
91	labour	4887	EastGezira	25	1	1	6	0	0	0	0.333333333333333	0.4	0	0	1	10	10	1	187
91	labour	4887	EastGezira	25	1	1	7	0	0	0	0.285714285714286	0.333333333333333	0	0	1	10	10	1	188
91	labour	4887	EastGezira	25	1	1	8	0	0	0	0.25	0.285714285714286	0	0	1	10	10	1	189
91	labour	4887	EastGezira	25	1	1	9	0	0	0	0.222222222222222	0.25	0	0	1	10	10	1	190
91	labour	4887	EastGezira	25	1	1	10	0	1	0	0.2	0.222222222222222	0	0	1	10	10	1	191
91	labour	4887	EastGezira	26	0	0	1	1	1	1	1	NA	0	0	1	6	0	0	192
91	labour	4887	EastGezira	26	0	0	2	0	0	0	0.5	1	0	0	1	6	0	0	193
91	labour	4887	EastGezira	26	0	0	3	0	0	0	0.333333333333333	0.5	0	0	1	6	0	0	194
91	labour	4887	EastGezira	26	0	0	4	1	1	1	0.5	0.333333333333333	0	0	1	6	0	0	195
91	labour	4887	EastGezira	26	0	0	5	0	0	0	0.4	0.5	0	0	1	6	0	0	196
91	labour	4887	EastGezira	26	0	0	6	0	0	0	0.333333333333333	0.4	0	0	1	6	0	0	197
91	labour	4887	EastGezira	27	0	0	1	1	0	1	1	NA	0	0	1	10	0	0	198
91	labour	4887	EastGezira	27	0	0	2	0	0	0	0.5	1	0	0	1	10	0	0	199
91	labour	4887	EastGezira	27	0	0	3	1	1	1	0.666666666666667	0.5	0	0	1	10	0	0	200
91	labour	4887	EastGezira	27	0	0	4	0	0	0	0.5	0.666666666666667	0	0	1	10	0	0	201
91	labour	4887	EastGezira	27	0	0	5	0	0	0	0.4	0.5	0	0	1	10	0	0	202
91	labour	4887	EastGezira	27	0	0	6	1	0	1	0.5	0.4	0	0	1	10	0	0	203
91	labour	4887	EastGezira	27	0	0	7	1	1	1	0.571428571428571	0.5	0	0	1	10	0	0	204
91	labour	4887	EastGezira	27	0	0	8	1	1	1	0.625	0.571428571428571	0	0	1	10	0	0	205
91	labour	4887	EastGezira	27	0	0	9	0	0	0	0.555555555555556	0.625	0	0	1	10	0	0	206
91	labour	4887	EastGezira	27	0	0	10	0	0	0	0.5	0.555555555555556	0	0	1	10	0	0	207
91	labour	4887	EastGezira	28	0	0	1	1	0	1	1	NA	0	0	1	10	0	0	208
91	labour	4887	EastGezira	28	0	0	2	0	0	0	0.5	1	0	0	1	10	0	0	209
91	labour	4887	EastGezira	28	0	0	3	0	0	0	0.333333333333333	0.5	0	0	1	10	0	0	210
91	labour	4887	EastGezira	28	0	0	4	0	0	0	0.25	0.333333333333333	0	0	1	10	0	0	211
